id,source_job_id,title,location,text,label,risk_level,red_flags,source_dataset,source_type,original_fraudulent,internship_related
1,6111,Data Entry,"US, NY, ACRA","Title: Data Entry
Location: US, NY, ACRA
Description: Data EntryThe purpose of this position is to complete study related case report forms, either paper or electronic and to ensure that all international regulatory standards and sponsor requirements are met providing the highest quality clinical trial services possible.DUTIES AND RESPONSIBILITIESCompare data with source documents to detect errors.Compile, sort and verify the accuracy of data before it is entered.Locate and correct data entry errors per Prism Research’s SOPs,Maintain study related logs.Read study protocols and source documents and enter data in specific data fields to complete study case report forms.Resolve garbled or indecipherable source data with appropriate staff.Select materials needed to complete work assignments.Store completed documents in appropriate locations.Establish and maintain strong external relationships with research partners and sponsor on an ongoing basis.
Requirements: Other duties as assigned.EDUCATION, TRAINING AND COMPETENCIESEDUCATIONAL REQUIREMENTS: High School Diploma.TRAINING/EXPERIENCE CLINICAL REQUIREMENTS: Minimum of two years clinical research experience preferred.TRANSFERABLE COMPETENCY REQUIREMENTS:§ Organization,§ Typing§ Data Entry Skills,§ Attention to Detail§ Confidentiality§ Thoroughness,§ Decision Making§ Independence,§ Analyzing Information§ Results Driven§ Verbal communications skills§ Problem-solving skills§ Planning/organizational skills§ Personal motivation§ Customer service skillsSPECIFIC TECHNICAL COMPETENCY REQUIREMENTS§ Understanding of ICH/GCP guidelines for human research§ Understanding of Code of Federal Regulations for Human Subjects§ Microsoft Word and Excel competency§ Understanding of Phase I-IV drug development processPHYSICAL REQUIREMENTS AND/OR ENVIRONMENTAL FACTORS§ Extensive computer (Laptop) use.
Benefits: Medical, Dental and Vision Insurance, Life and Long-Term Disability Insurance, Vacation, Paid Time Off, Tax-Deferred Annuity 403 (b) 401 ( k ) , Tuition Assistance, Comprehensive In-House Training Program, Employee Assistance Program, Relocation Allowance (for some positions), Sign-On Bonus (for some positions)
Employment Type: Full-time
Required Experience: Entry level
Required Education: Unspecified
Industry: Accounting
Function: Administrative",fraudulent,high,missing_company_profile;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,1,True
2,4670,Associate Business Development,"DK, , Work from home","Title: Associate Business Development
Location: DK, , Work from home
Description: Want to build a career in IT? Free training in exchange for your time on revenue share basisWe are an IT startup providing Global IT services to well known organizations and are very busy due to overwhelming response. We are looking to expand and want to create a network of associates who can focus on innovative products, business development and client management areas. In exchange we will provide you assistance and training to improve your career prospects, experience working with us and a launch pad to help you succeed in your career long term. Some of the potential areas where we can help you are1. Learning a new programming language2. Learning new open source platforms e.g. Wordpress, Joomla3. Exposure to building ecommerce solutions, SEO etc.4. Interacting with senior decision makers in IT5. IT sales and marketingWe are searching for peoples based in Finland, Denmark, Norway, Sweden, France, Germany, Luxemburg, Switzerland, Netherlands and Belgium.So, if you are living there and you are able to communicate also in English, please send your CVLooking forward hearing from you.
Employment Type: Full-time
Required Experience: Entry level
Industry: Information Technology and Services
Function: Business Development",suspicious,medium,missing_company_profile;missing_requirements;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,0,True
3,5689,Call Center Representative,"US, TX, HOUSTON","Title: Call Center Representative
Location: US, TX, HOUSTON
Salary Range: 1000-2000
Description: Duties and Responsibilities:Answer Call Center incoming telephone calls, e-mail inquiries and instant message chats from clients and participants in a professional, courteous and timely manner.Improve client satisfaction by providing high quality Customer Service and timely follow up and resolution of participant issues.Identify benefit information and provide accurate and thorough information to all internal and external clients.Document all calls in the designated call log to ensure timely follow up and problem resolution.Answer all calls within two rings.
Requirements: QUALIFICATIONSHigh school diploma/GED required, college experience preferredMust have at least two years experience in call center environment, outbound calling preferred.Excellent communication skills
Benefits: Compensation/benefits package includes:Comprehensive benefits package, including a 401k with matchingCompetitive wages, based on education and experience
Employment Type: Full-time
Required Experience: Entry level
Required Education: High School or equivalent
Industry: Telecommunications
Function: Customer Service",fraudulent,high,missing_company_profile;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,1,True
4,10319,Customer support(Junior position),"GR, I, Athens","Title: Customer support(Junior position)
Location: GR, I, Athens
Salary Range: 1000-1100
Description: We need a person that has lots of energy and enjoys learning new things. Making good coffee will be considered a plus
Requirements: #NAME?
Benefits: #NAME?
Employment Type: Full-time
Required Experience: Entry level
Industry: Accounting
Function: Customer Service",legitimate,low,missing_company_profile;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,0,True
5,2368,Software Engineer | Forecasting & Optimization,"US, CA, San Mateo","Title: Software Engineer | Forecasting & Optimization
Location: US, CA, San Mateo
Department: Engineering
Company Profile: Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program and earn $500 - $1,000 per hired referral
Description: Software Engineer | Forecasting + Optimization | San Mateo, CALooking for a smart engineers to work on our next-generation data mining and forecasting platform. The role involves working with business analysts and research scientists to build innovative forecasting and optimization solutions for online advertising; building models and algorithms to solve challenging problems such as estimating the click-through-rate of ads, estimating the cost of ad impressions, estimating the supply of different types of impressions, classifying web pages and web sites, improving online auctions, and so forth; and processing terabytes of data to extract insights using data mining, statistics, and machine learning techniques.Responsibilities:Work closely with Research scientist in building predictive models based on millions of ad transactions.Deploy statistical methods for finding structure in large data sets Design A/B tests to determine effectiveness of various strategies. Define complex SQL and other data extraction schemes to gather and filter needed data.Mining large (terabyte scale) data sets to obtain actionable business insights or to explain business patternsDevelop, train, educate others in Statistical Sciences and other technical disciplines in research and business on the use of data mining methods and tools.
Requirements: Desired Skills and Experience:BS in Computer Science, Mathematics, Statistics, or related field Deep and broad knowledge of data mining methods and tools Able to reduce problem to mathematical/statistical questions/hypotheses that can be answered through data miningStrong ability in data modeling by using machine learning techniquesDatabase experience required Strong programming skills Teamwork and leadership skills Self-management skills with a focus on results for timely and accurate completion of competing deliverablesPrior experience in advertising industry is a plus
Benefits: The BenefitsGenerous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!
Employment Type: Full-time
Required Experience: Mid-Senior level
Required Education: Bachelor's Degree
Industry: Marketing and Advertising
Function: Engineering",fraudulent,high,none,EMSCAD_real_fake_job_postings,processed_public_dataset,1,False
6,7850,Entry Level Accounting Specialist,"US, FL, Fort Lauderdale","Title: Entry Level Accounting Specialist
Location: US, FL, Fort Lauderdale
Description: We have an immediate opening for an Accounting Specialist to manage day to day facility accounting duties. The ideal candidate will be in the accounting field looking to take the next step of career growth.Qualifications include:Solid PC skillsStrong Business AcumenMinimum of 1-3 years accounting experience a plusExcellent communication skills (verbal and written)Ability to work independentlyAssociate or Bachelor’s Degree in Accounting",suspicious,medium,missing_company_profile;missing_requirements;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,0,True
7,17521,Payroll Data Coordinator Positions - Earn $100-$200 Daily,"US, ME, Abbot","Title: Payroll Data Coordinator Positions - Earn $100-$200 Daily
Location: US, ME, Abbot
Description: We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you
Requirements: RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills
Benefits: This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry. Complete Training provided before you start working and it’s easy to start! ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#",fraudulent,high,missing_company_profile;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,1,True
8,1408,Data Entry Admin/Clerical Positions - Work From Home,"US, AK, Anchorage","Title: Data Entry Admin/Clerical Positions - Work From Home
Location: US, AK, Anchorage
Description: ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply This is a Full Time Temporary Position Lasting for 2 yearsDescriptionValidate and review legal contractual agreements for customers Input contract into contract databases All contracts completed and reviewed within per-determined service level agreement Professional e-mail interaction with customers Scanning and uploading of documents QualificationsHigh School Diploma or Equivalent Professional Communication Skills via e-mail interactionDedicated to the needs of the business Project management skills to assist in facilitating multiple contract rejects Detail oriented Able to multi-taskAbility to work with time sensitive documents Must be able to work independently but able to perform in a team environment when needed. Fast and accurate typist ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply",fraudulent,high,missing_company_profile;missing_requirements;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,1,False
9,17631,Financial Assistant position,"AU, NSW, Sydney","Title: Financial Assistant position
Location: AU, NSW, Sydney
Description: We have positions available for confident, out-going, enthusiastic candidates to join our team of financial assistant.Working days – from Monday to Friday;Weekends - Saturday, Sunday;Working time - from 8 am to 12 am. (Possible full time.) With full-time and flexible part-time positions available, and full training provided you can pay your bills while making a huge difference to those who need it!Please send your CV to #EMAIL_0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c#
Requirements: Male or Female· Age from 18 and more· A student or someone with the formation· Good skills of communications· Literate in MS Word, Excel, Powerpoint and Outlook· Able to work under pressure and prioritise, in a dynamic environment
Benefits: Base wage of $430 per week + bonuses·Excellent training and ongoing coaching
Employment Type: Part-time
Industry: Financial Services",fraudulent,high,missing_company_profile;no_company_logo,EMSCAD_real_fake_job_postings,processed_public_dataset,1,True
10,2192,Customer Service Representative,"US, TX, SAN ANTONIO","Title: Customer Service Representative
Location: US, TX, SAN ANTONIO
Description: SUMMARYResponsible for acting as a liaison between customers and companies. Assists with complaints, orders, errors, account questions, billing, cancelations, and other #URL_c81b3832d5b6414e2bb4b445194f7a4b920877a0d0d13c5215a92971f7a10267# RESPONSIBILITIESResolve customer complaints via phone, email, mail, or social media.Use telephones to reach out to customers and verify account information.Greet customers warmly and ascertain problem or reason for calling.Cancel or upgrade accounts.Assist with placement of orders, refunds, or exchanges.Advise on company information.Take payment information and other pertinent information such as addresses and phone numbers.Place or cancel orders.Answer questions about warranties or terms of sale.Act as the company gatekeeper.Suggest solutions when a product malfunctions.Handle product recalls.
Requirements: Degree preferred but not required.Recent college grads with an interest in the Logistics industry please apply.Experience with air freight and same day deliveries and Dispatch is a plus. -Strong coordination skills are a must.
Benefits: You would be eligible to Benefits after 2months of working with the company, Benefits offered are Health Insurance / Vacations / Bonuses which will be explain more better in your offer letter Ok
Employment Type: Full-time
Required Experience: Internship
Required Education: Unspecified
Industry: Telecommunications
Function: Administrative",fraudulent,high,missing_company_profile;remote_or_telecommuting;no_company_logo;no_screening_questions,EMSCAD_real_fake_job_postings,processed_public_dataset,1,True
