id,label,company_name,text
1,High-Risk Internship,QuickHire Global,"Congratulations! You have been SELECTED for our Work From Home Data Entry Internship. Guaranteed job, no interview required. To confirm your seat, pay a refundable registration fee of Rs 1999 via UPI to quickhire@ybl within 24 hours. Limited seats, offer expires today! Contact us at hr.quickhire@gmail.com or +919876543210 for the payment link: http://quickhire-jobs.xyz/confirm"
2,Suspicious Job Offer,BrightFuture Careers,"URGENT: Immediate joining available for Content Writing job. 100% placement guaranteed. Earn Rs 80000 per month working just 2 hours a day. Send your bank account details and Aadhaar number to verify eligibility. Act immediately, only 3 seats left! Visit http://192.168.10.44/apply-now to register."
3,Legitimate-Looking Internship,Infotech Solutions Pvt Ltd,"We are pleased to offer you a Software Development Internship at Infotech Solutions Pvt Ltd. The role involves working on our web application team under the guidance of a senior developer. Duration: 3 months. Stipend: Rs 15000 per month. Please find the detailed job description and requirements attached. For queries, contact hr@infotechsolutions.com or visit our careers page at https://www.infotechsolutions.com/careers."
4,Suspicious Job Offer,NextGen Recruiters,"Dear Candidate, you are selected without interview for our HR Executive position. Pay a small training fee of Rs 2500 to activate your employee ID. Respond immediately or the offer will be given to someone else. Contact: nextgen.hr@gmail.com"
5,Legitimate-Looking Internship,Sunrise Analytics,"Sunrise Analytics is hiring Data Analyst interns for our Chennai office. Responsibilities include data cleaning, dashboard creation, and report generation using Excel and Python. Eligibility: final year students, basic knowledge of SQL. Duration: 6 months, stipend Rs 20000/month. Apply through our official careers portal: https://www.sunriseanalytics.in/careers/apply"
6,High-Risk Internship,MegaEarn Ventures,"EARN RS 5 LAKH PER MONTH FROM HOME! No experience needed, no interview, guaranteed internship certificate. Just pay Rs 999 processing fee and share your ATM PIN for verification. Offer valid only today. UPI: megaearn@paytm. Click here: http://bit.ly/megaearn-apply1"
7,Suspicious Job Offer,Prime Career Hub,"You have been shortlisted for a Marketing Internship. Security deposit of Rs 3000 required before joining, fully refundable after 1 month. Immediate selection, no screening process. Contact recruiter at primecareerhub2024@gmail.com, phone +918123456789."
8,Legitimate-Looking Internship,CodeCraft Technologies,"CodeCraft Technologies is looking for Frontend Developer interns with knowledge of React and JavaScript. This is an on-site internship at our Bangalore office for a duration of 4 months with a stipend of Rs 18000/month. Interview process includes a technical round and an HR round. Apply via our website: https://codecrafttech.com/careers or email careers@codecrafttech.com."
9,High-Risk Internship,EasyJobz India,"Last chance! Pay today to confirm your Data Entry job. Guaranteed placement without interview. Send OTP received on your phone to verify your identity along with your PAN card details. UPI ID: easyjobz@oksbi. Website: http://easy-jobz-confirm.top/pay"
10,Suspicious Job Offer,Skyline Ventures,"Skyline Ventures offers a Graphic Design internship with unrealistic salary of Rs 60000 per month for freshers. Vague job description, no clear responsibilities mentioned. Immediate joining required, pay Rs 1500 as a kit fee for design software access. Contact: skyline.ventures2024@gmail.com"
11,Legitimate-Looking Internship,GreenLeaf Consulting,"GreenLeaf Consulting is offering a Business Analyst internship for MBA students. The role includes market research, client presentations, and report writing under senior consultant supervision. Duration: 2 months, unpaid but with a certificate and letter of recommendation. Interviews will be conducted via video call. Apply at https://greenleafconsulting.com/internships."
12,High-Risk Internship,InstantJobs24,"CONGRATULATIONS! You are guaranteed selection for our Online Survey job. Pay Rs 999 joining fee immediately via UPI instantjobs@ybl to activate your account. Share your bank account number and IFSC code for salary credit setup. Limited time offer, respond immediately!"
13,Suspicious Job Offer,Apex Business Solutions,"Apex Business Solutions is hiring for a Telecalling job with 100% placement guarantee. No interview, no experience required. Extremely high stipend of Rs 45000/month for a part-time role. Pay a refundable security deposit of Rs 2000 before joining. Contact: apex.hr.jobs@gmail.com, +917000012345."
14,Legitimate-Looking Internship,Bluewave Software,"Bluewave Software Pvt Ltd is recruiting Backend Development interns skilled in Python and Django. The internship includes mentorship from senior engineers, a structured onboarding process, and a stipend of Rs 22000/month. Selection involves a coding assessment followed by a technical interview. Learn more at https://www.bluewavesoftware.com/careers."
15,High-Risk Internship,FastTrack Careers,"Act immediately! Your application for a Remote Data Entry job has been approved. Guaranteed job, no interview needed. To process your offer letter, pay Rs 1200 registration fee and provide your Aadhaar and PAN details for KYC verification. Payment link: http://fasttrack-careers-verify.click/pay, UPI: fasttrack@apl"
16,Legitimate-Looking Internship,Horizon Analytics Pvt Ltd,"Horizon Analytics Pvt Ltd invites applications for a Machine Learning Internship. Candidates should have basic knowledge of Python and statistics. The role involves working on real datasets under a mentor, duration 3 months, stipend Rs 25000/month. Shortlisted candidates will undergo a technical interview. Apply through our LinkedIn page or email careers@horizonanalytics.in."
17,Suspicious Job Offer,GoldMine Jobs,"GoldMine Jobs is offering a Guaranteed Internship with 100% placement and no interview. Extremely high stipend of Rs 70000/month for a work-from-home content moderation role. Pay a processing fee of Rs 1799 via UPI goldmine@okaxis to receive your offer letter today. Limited seats available."
